Comments,sentiments
"See wetin a whole security outfit dey yarn for mouth, so wether your crops are matured or not, harvest and give way to the herders cos they are unstoppable. Just imagine rubbish. Mtchwwww this country just tire me I swear",negative
e pain you oooe dey sweet me baje bajegbamputu gbamputuigba nni na ofehahahahahae dey pain you oooe dey pain them bayi,negative
Make una dey use Nigeria make money,neutral
E don do .. no dey drag Baba Ibeji ...it solves nothing..,negative
"When he died nobody would remember him .. always pulling down instead of building... Please ask him what has he built since he became Minister , how many lives as he touched positively .. I hear good things about him as River State Governor but as Minister of FCT it is pull down this or destroy that ..abi his media aide dey sleep ni ..when you take away people's livelihood why won't they turn to crime ..",neutral
"Na Tinubu I dey pity. No one should trust Wike.He want to gather money for presidential election.For those of you supporting Wike just because he works for Tinubu, very soon una go hear am.",negative
People still dey buy itel,neutral
"Okay, as you say make we rate am, I go rate am from critical point of view as me seff know music small as I don dey inside choir before when I still dey go church before I turned to Deist.1. Too much autotune. Like way too much autotune. I can't even pick your original voice.2. The beat is very poor. Sounds like the beat of the late 90s when Afropop was just crawling into Naija.3. The mixing is very bad. The producer should be flogged and sentenced to death by hanging.4. You don't sound like you are talented musicallyConclusion: Go and learn more in music or dump it totally for something elseRating: 1.5/10",negative
"Yes as usual to ring the election including useless INEC,..see were una put helpless Nigeria today,..the world all know Nigeria are not working but just forcing ourselves...may Satan push una change anybody Edo go elect as governor  then una go know difference dey for corn and groundnut.",negative
"Nawa oo. DSS come dey do akproko minista, dey informate us. Wetin be una work?",neutral
So this kind money dey this country and masses dey H,neutral
"Na that Government College, Lagos dey burst my head. Thank u Gani Fawehinmi. The white bearded corn professor has gone awol as usual.",positive
Dey play; God fearing means you have money and good dick🤓,negative
All dey could kill was 6? Hmmmm,negative
"Yarimo, you are losing it allPeter Obi and Obidients matter dey give you serious nightmares",negative
"Wait first, na Niger junta wahala dey our hands right now.",positive
Most of una don swear say una go dey dumb forever.,neutral
😁😁Make I no just talk wetin dey my mind.,negative
"what a man can do  Make man no loose guard these days o, the streets ain't safe. Very soon, na man go dey run from sex",negative
Dis one still carry matter enter supreme court? Dem suppose dey flog some people... Anyways Sha... Lawyers must chopJustice Okoro pointedly asked Umeh what he thought his client would benefit from the outcome of the case if not only to further overburden the court.,negative
"This one just dey fvck everything wey him see....OP. Are you married and still sleeping around? I mean are you getting this infection from your wife or from ladies outside  I understand you sha... The sweetness of that spot when it is done raw is immeasurable especially when u calmly pour Ur akamu inside with ease... The feeling is out of this world but man, be careful...Raw sex is sweet and tempting but with most ladies being carriers of many infections, use condom",negative
"I may not know how these things work but most of these people got the approvals from previous governments, is it that every government that comes into power, land owners will have to get an approval from them or what? You can't tell me that all of them have fake paper. Fake paper from appropriate bodies in charge abi? Or same land that will end up being given to another group of people again which another government will still come and demolish?Make una stop to dey invest una money on buying land in Abuja, that's my advice.",negative
"The joy I have that England lost, no one would understand. I would have called in sick tomorrow cos my colleagues would just be capping nonsense. I get irritated whenever English football teams are playing cos they get so hyped you would think they should win by default.  My friends keep saying ""why did you accept the UK passport if you don't like them"", my answer is always ""I earned it, I was not given"". The height of it all was after Lauren James stepped on our girl and they were justifying it like it was a mistake.  Since then I just get disgusted. Jehova no dey shame us..",negative
Very funny government25k for low level gradeSo high level grade are not feeling the hardship? Na only low level removal of subsidy dey affect? Baba no understand the systemJust dey after the name called PRESIDENT.,negative
Nff should stop disgracing themselves.... Fifa should involve d EFCC... That's d best way... All dis don't involve d government rule in football should not apply to Nigeria... We jst dey 2 corrupt,negative
"Las las e no go reach everybody hand, watch out! Na only rice I dey see, more carbohydrate.",negative
I dey always gbadun you my brother hahaha,negative
"God have mercy So people dey smoke igboh and them no see person wey stair case crash?Could it be that he joined them to smoke then go crash the staircase wey fall on him, the others Japa.Vigilante come show later, Hmm this matter long.",negative
assist her by getting an assistant girlfriend wey go dey empty your tank..,neutral
Damn NiggarSee What Harsh Nigeria Economy Dey Cause,neutral
Just dey play,negative
"Tell us any 2 controversies you've heard about him prior now please. We wanna know, cos we don't know of any.We are happy we made you edit your comment  Some of una go just dey type fake rubbish all in the name of being woke.Shame!",negative
"https://punchng.com/govs-sponsor-pilgrims-with-n14-84bn-in-two-years/Mumu country.  Poverty capital of the world wey no wan get sense. One set of mumu Nigerians dey go Israel every year the other set na Saudi Arabia, when dem come back dem go begin dey complain about unemployment and bad roads.What is the economic benefits of these senseless pilgrimages. Today Israel tomorrow Saudi Arabia.  Waste taxpayers money on rubbish.   Money that should have gone into more meaningful ventures like building more schools and good hospitals. Nigeria youths wake up. This Is one thing we must stop. Speak up.",negative
But it’s legal to rule 250Million Nigerians with a forged certificate Rules in Nigeria is only meant for the poorBros/sis if you get money and you know say you dey your rightAny Mumu lawyer wey near you talk rubbish just target him mouth with your left fist Tinubu has reduced these high profile lawyers to zeroNa this Tinubu case cast Nigerian lawyers nobody dey rate them again,negative
quote author=Beremx post=126511195] you dey talk nonsense na. Use direct proportion a topic in primary five mathematics to solve how many percentage of voters turnout in Nigeria. Use cross multiplication to get your answer correctly. Thank you [/quote]  ;Dabeg wetin be cross multiplication?,neutral
This one still dey copy,neutral
You go blame people when dey accomodate and sophisticate Thier grandpa with koboko?,negative
Dem no suppose operate the building in first place.Dem suppose chop Fine .All things wey people dey take create employment here in UK.,negative
No dey lie,negative
Water don dey find im level.,neutral
"Na Sammy kill mohbad it's really obvious,if say dem no dey video that scene whey he carry boys with cutlass he for Don kill mohbad tey tey",negative
"Peaceful or not peaceful japa is the make i just learn Algorithm and Data Structureanything wey una dey write here na waste of timeAnd beside in the US everyone have acess to gun but here in nigeria maybe only 30% and they are still competing with US in terms of death, imagine if everyone has a gun in nigeria, in america there is no mass kidnaping etc",negative
Matters arriving arising.inoki247:Lol person wey UK arrest for 124 times no see hold na him Nigeria wey things no come dey straight forward Justice go come....Evidence is everywhere invite all the culprit buh we Neva see any invitation....Maybe las las na street dem go settle the mata...Wittyness.,negative
"Lol,This guy just dey distract us. But wait, are we saying Mobil and Co.. Didn't check that this guy graduated?How come he was a successful accountant?I am just perplexed that we will dwell on this...That's how he was Balablu and now talks properly.",neutral
"It's a good advice, only that, it may be coming from a mind of bigotry.Meanwhile, where's that nairaland DJ, please play me ""as a dey pain dem e dey sweet us"" ~ by Timaya.",neutral
One by one dem don dey Open their yarns.All of them must collect.,neutral
Which Yoruba dey support Tinubu?Same Yoruba states Tinubu failed during last electionIf not for Yakubu Tinubu for no get reach 100k votes nation wide,negative
African Dubai Taiwan Dey Awka Dey deceive himself 😭😭,negative
"My dad, God rest his soul had some traits I've resolved to try and stop. For one, he concerns himself with matters that doesn't really concern him. Someone is sick, my dad will step out to take that person for treatment. Na police case, he go chuk head. I didn't like that about him. Then his womanising. Chai! My papa nor dey smoke. He no dey drink. But you see woman, that is his forte. Well, despite his shortcomings, he was a good man and I can only pray God forgive him whatever transgression of his and grant him rest.",neutral
Obaseki dey wipe Shaibu Oraimo usb cord for neck every day,neutral
"Ndi araRescued to be kidnaped the next day, people wey no like good thing, how u wan make i pity them when dem dey enjoy suffering.",neutral
So this baba still dey Naija abi him dey speak from exile 😁,neutral
This case still dey.  Seems there is not enough evidence to effect a prosecution.,negative
Make e no be like say dem no dey active,negative
"Will or has?He even added …going to destroy your government when Niger here is already flexing muscles on him?Even that Gabonese Unknown Soldier self has mouth to talk.Worse, dem don dey break ""Corn"" to pieces to sell to those who cannot afford the whole.Some people who supported and voted this government are already prostrating and begging for food...in just 4 months of his government, and you still have 44 months to go.Maybe when next there is election, their eyes will open wide. So, to pour out your hate on me, the worst you could call me was an Obidient?Funny… very funny and pathetic.If I am obedient, and not obidient, I am to GOD and not to any of your unmerciful politicians!Who and what gave you the pathetic idea I am a supporter of any of these evil men, who rode on the gullibility of the poor masses to paint themselves as saints and overnight messiahs just to climb on their plights and head over to gain the supreme office of the land?  Come, don't annoy me o!As long as Nigerians keep reinstalling their leaders from the National Recycle Bin of Ex-Servicemen and Politicians, expect nothing to change in the country's affairs. It will still keep being from frying pan into fire and from fire into furnace. Until everyone can no longer bear the pains before you'd realize this country is not going forward… but rather moonwalking.The same set of politicians who ruined it all, fixed nothing are still the ones recycling themselves there. And here you are calling me an obidient. What did he do in his own state while he was governor?What did the current fix while he was also governor?Obidient ko… Disobidient ni.",negative
"You wan give gbajue people heart attack?Tinubu is a game master. He got them fixated on his certificate as if there's something hidden there to favor their case in court. They made a mountain out of it. Created a media avalanche out of it and, this is where it all ended. They're in shame. He was even preventing them from his certificate as if it's his only way to breath, not knowing he's goading them to nothing.Those stupid judges can go and sleep after disrespecting their own laws.Rufai Oseni and David Hundeyin can now begin to wail again.",negative
RIP to the death. But whats happening ? Christians were killed in a church in Owo now Muslims have been killed in a mosque in Kaduna. Na wa oo. The god wey dem dey go mosque and church go worship no dey try save people wey dey worship am when people attack them for him TEMPLE.,neutral
No dey argue rubbish argument Nothing like mainland or island .. Lagos is Lagos Read the screenshot and stop spewing trash,negative
"Iyabo Ojo no dey use clout playThey even went to print Aso Ebi T Shirt, ontop MohBad that they don't even have his song on their playlist or support his struggleIt's good to see the women standing up on this issue as wellPS: were is this boy that took MohBad to the hospital and also away from the hospital, the boy that annouced his death and showed his corpse.",negative
"Shark no dey sweet. I've eaten it, it tastes somehow and feel weird in the mouth. Not worth it. I'm not trying it again. Especially when u read sharks urine is abosorb by its flesh. Gosh",negative
Is IPOB the content of the video?Abi na cowardice dey worry you?,negative
Hehehehehehehehehe  Walahi Reno na fool..See dancing dance Obi carry President go dash Tinubu..  they tell am say you Dey Jones.. his people insult Nigerians like bingosTable don turn.. bingos and ekpa ekukes go wail tire..Nigerians go mock dem eh kwa.. Wetin apc don for be history by now..   and na dem wail pass on top Tinubu Obi and his fools don’t really know what they want,neutral
"iPhone just dey recycle the previous phone, the major difference I saw in iPhone 15 and 14 na just colour the rest like easier transfer is something they could have updated on the 14",positive
"Omo...Money dey this countryHead for head, Name for name, There are far richer Hausas than the Igbos",neutral
"If truly LP is the change Nigeria needs then the right thing should be all LP lawmakers rejecting the SUV that will be given them, by doing this, we will know they are truly the game changers and they care for a betterment of the masses but if they do otherwise then LP Na lamba party. That excuse Obi dey give na normal naija yahoo politician format. You dey condemn the presidency for wasteful spending, shey dem tell u say d cars wey dem budget for the presidency na their personal cars?LP top to bottom",positive
B4 nko...is he not a family man?He has mouths to feed...na where man dey work e dey chop,negative
Na wao... This evening na so so foodies dey trend,neutral
Who b the mumu wey dey cover dia face,negative
What evening newspaper need is vibrators not a child.All 9ja guys should avoid any evening newspaper because they are all out to hook you with pregnancy.E no go better for any evening newspaper wey go try to near where I dey,negative
Blitzerz:Yoruba muslims handwork.Just like they are persecuting Isese peopleThey dont want other religions near them.Please appeal the judgement Chibuzoripob:  nowadays IFA dey collect bribe/🙆 lie join. Wittyness.,negative
😂 Shame suppose dey catch you with the way you avoid certain arguments.Answer nw.,negative
Atleast this one no dey copy fela.Carry go mr money,negative
"I dunno why Gifty and the likes of her are triggered by the photo of Rema.For Gods sake it's just an artistic impression.In fact, you guys making an issue out of this is making the entertainment industry thrive more.....""After all in entertainment industry all news is good news"".....😂🤣🤣🤣🤣.Gifty seff dey find attention, she needed not to make such an announcement.",negative
Same political BSthere’s budget o…..and it’s fully funded…just that it only covers the entourage😄😄😄I don’t pity the masses….they are gullible and the politicians have seen them finish. Na why they’d say thrash and they’re sure it’d go down well with the public like some ppl above don already dey praise the press release.,negative
"No bi una dey do am sha, na independent marketers",negative
"The one wey dem accredited, graduates from the Universities still dey struggle. I won't be shocked if graduates of engineering course from these schools will be accepted before the rest to practice. After all, economist be surgeon for Jos, practice him quackery for years and went undetected until 2023. Naija we move!!!",neutral
Nothing must happen to Hundeyin o.,neutral
Tinubu should leave Niger alonePikin wey dey dance for roadside wetin dey beat drum for am dey inside bushThat 35yr old boy is Putin’s godsonTinubu no go carry us enter wahala wey u no fit solveThere’s hunger in Osun state Infact at Irigbaji your home town and Fulanis are killing your people taking their lands and raping their womenGo there and solve it before showing your incompetency to the entire world Niger told you that you’ve not right to dictate for them that you’re an illegitimate PresidentThe World knows you’re a product of Yakubu Manhood please stop embarrassing yourself and fighting a 35yr old boy who’s younger than your sonWho wan fight war go Cotonou yesterday dey in front seat dey sleep dey snore👇👇👇,negative
"No be lie o... This one na real crisis.I wrote one course during my pg days before the strike. Me I know say na fail I fail.After the strike, the lecturer don Japa. But the good man passed everyone who took the course.God bless him wherever he dey o. I for dey write carryover con still pay school fees join",negative
"Seems this guy is serious about becoming governor. Kogi people better get sense. When he pockets their money and climbs a tree or feigns madness when he's asked to give account, my hand no dey o.",negative
Sope otilo. I no understand ooStill trying to see the importance of the manifesto. The thing don dey scatter for baba sight ooo,negative
And dem dey lie say na Buhari wey don comot since order for the yatch. Tinubu is a beast,negative
Fresh Vboot still dey house dey waste.I'm not a fan of manual,negative
"Obi does not Need Alliance to win. 🙂He won, BUT for the Evil Mumu'd Yakubu that gave his Votes to Atiku and Rigged Heavily in the North.😒That's why the Coward changed his Transmission Results method halfway into the Game.😕Obi Dey Kampe! He knows the Next Step to Take!😊😎",negative
"I agree with you.Agulu Antichrist na so him papa sell drugs sotay drug dealers kill him papa that year. Shame no gree am talk. Why him kinsmen no go dey carry drugs about. This drug fight wey Marwa dey do, he just wan comot food for akpu Obidients mouth.As Marwa they catch Akpu drug dealers, na so UGM dey kidnap their fake herbalist wey dey do 10 Naira juju for them. To build mansion for akpu republic don hard now o.",negative
Na so ebola just dey use una dey play chess😂😂 government of apc na full propaganda machine. Dia lie no dey finish😂😂🏃🏃🏃🏃🏃,negative
He'll definitely be submissive and loyal to her otherwise na steady beating him go dey collect,neutral
"Ebola just grab steering by force, begin carry us dey go where we no know.",negative
He still dey!I dey do am on a lighter level but I no be Dayooth (Cuckold) nor SIMP!,negative
"nobody dey fight, we just dey hail our brothers",negative
"Owo ni Koko. You wey been dey Naija dey hustle, u don't even know where your next meal will come from. Now you got opportunity abroad and some idiots are telling you to play for Passion? Na Passion we go chop Victor, tell them to pay you €300M per annum. Go secure the bag, go and become a Billionaire in Dollars then you can comeback and play for Nasarawa United 'for Passion'.",negative
"Hehe.A cheating woman CAN NEVER CHANGE.It takes a lot of moral bankruptcy for a woman to cheat. It doesn't happen by mistake.It is like how hard with many months of thinking it takes for a man to join an armed robbery gang.Any cheating woman is the lowest of females.If I ever find out that my wife has ever slept with any other man from the day we started dating, even before we got married, it is straight divorce + dumping whether child is involved or not. I won't listen to pleas from even my own parents sef... No negotiation.  Me wey dey tell her to her face sefFor your own health, I will advice you to pretend to have forgiven her.Then during that time, find another babe and build a relationship with the new woman. When your bond with the new woman becomes established, then drop the old woman.This way you won't feel any lose. Yhose stupid dreams will have stopped. You will be happy that you have dumped the lowlife.As a side note: she didn't just start cheating during NYSC. She has always been cheating from her school days.",negative
lol dey play,negative
"Good.Moreso, we're made to believe that we have 3 arms of government, lol, na only executive me I know o.President dey ""appoint"" Senate President, dey appoint CJN.How do we expect the checks and balance?, which I believe is the sole aim of having different arms.",negative
Dey go collect,neutral
"Why una benue no dey pity unaself like this, Fulani & bandits are killing you pple and yet that Neva do una. Una come dey kill unaself again. Na wa o",negative
"Where man dey work,na there he go chop.Work-Chop(Shop)Bad market for some people.But as Nigeria be, there's always plan B to criminality, there's always a way out.",negative
"Wrong. Music is a universal language of its own. Doesn’t matter what language you sing with, great music is great music. And there’re millions of proof. Gangnam style etc etckestolove95:I hate burna boyHe misyarned, but why would you hate the current best musician in Nigeria?ShenTeh:Wow.You all see how the plate is regarded as dirty and gross after we are done with our delicacy from it.Normal Nigerians. Unfortunately what Burna and most Nigerian artists who try to go international does not understand is that after all said and done, these guys will never accept you as their own. Las las Burna go realize say na only us Dey rate am.",negative
"You are all set, mate.Go live life, mate. Emphasis on ""life"".No be live we dey live life for Nigeria, here. We dey endure life.",negative
Who really gives a shit!?🤷🏿‍♂️They are all there to steal and plunder. 4 months into office na so so preaching and prayers him dey do. Nonsense.,negative
"Gender wen dey get mood swings tell you make you sell your source of livelihood, you self carry am go sell.Case of person wen see sign say rain wan fall, come throway water wen remain for house but rain no gree fall again.Well, to the Pikin wen no help her people when she blow, make she no forget say this Life na turn by turn and he go reach everybody so if you get sense do good so that good go reach you.Abeg, make I carry my matter comot joor, ordinary 10M I never get.",negative
No serious person dey Nairaland again. This forum has long outlived its usefulness.,negative
"Same here, I can never stop not even at old age.  I dey high way now dey blast mobb deep album. Rip prodigy😢",negative
Lol na Everyday UBA dey advertise to me mak I use my Dorm du Collateral....U want to use my Dollar take give me forceful Naira,neutral
LambaWhen normal distributing of rice and indomie as palliative never dey outdated,negative
make I dey follow clisle9,neutral
"Dem don come again , abeg wen d lockdown dey start  , i wan check something  , 🤪😜",neutral
"He don Rob them, Zero goal in last 8 matches.He no dey see ref support like Barca own Messi na fraud",negative
Na so dem dey invite village people into their lives,neutral
The Justice Ugo just dey yarn dust,negative
[quote author=Eriggs post=125017332][/quote]Zombie dey use another moniker quote me to type rubbish,negative
"Nor worry, continue to give am 5h....your wife go soon dey do hook-up to augment that beggar's gift.",negative
"Audio-revenue Mago-mago....Lets hear the percentage of those benefitting from the IGR....Less than 15% MONKEYS DEY WORK BABOON THEY CHOP...Olorun ma se wa ni abawon waye, ka sise bi eru ko da nkan SMALL SCALE ENTREAPRENEURS ARE GROANING FROM OVERTAXATIONS while OMO ONILE'S & AGBERO'S are making free monies using Gestapo's style owomida approach to rough handle people & take their hard earned capital, talkless of gains",neutral
"Politics aside, I think Sanwolu dey try when it comes to interfacing with lagosians.Middle finger to the mod wey ban me last week while I was trying to quote a post and it ended up with an error. Before I could edit and correct, the muddasuka don ban me. Make ona dey use ona head",positive
"If not for yesterday's Dollar crash against the Naira, how much be Range Rover wey this small girl go take dey oppress me.",negative
"Obidient is full of thiefs, yahoo boys, olosho and Igbos. Make dem leak the videos on his phone, make we see the Agulu lizard biting his iips to the nudity his olosho supporters dey send to am.",neutral
Owe B Owe dey chop gbese upandan,neutral
U funny oooAt least porn dey give excess joy,neutral
"Yoruba and their northerner brothers don run this country to the ground–and made it the poverty capital of the world. Na only power una sabi grab, nothing dey the head.",neutral
Correct score?I staked ManU win and 1-5 goals with $40.@WowSweetGuy what's your stance in this fixture?43Ronin:Brighton suppose win this match nauDey play...lolzWowSweetGuy: not bad at allBut I'm finding who can bet with me and pay me onlineI never get paid....on d Liverpool match i won a guy now...im hoping he pays...if I loose i will surely payPlz I see u as a real man...lets play 6pm match stake Meanwhile congrats on your Liverpool stake winning...I avoided u there because I kinda know u got it rightWhy do you think i'm a male? SMH...anyways I'm yet to comprehend your style of bet or Ts & Cs.@Raigbe what's your budget?. You can also check on phone section.43Ronin:you staked man u to win brighton? u either a fan or you get mind. Brighton is in mad form at the mo and have a good H2H against man u plus they have picked 9 points from 12 while man u has picked just 6. IMO you for play Brighton draw-no-betI'm not a fan but a sport trader though i already recovered with  half time under 1.5goals(with a 2.76 odds) live stake of $35  after Brighton scored. It's called hedging.Wittyness,neutral
Una don come again with this 'woman bashing thread'.Make una dey rest na.,positive
"You Tried, do I cook better than the Op? Op ress, na serve dem serve me dinner, I no cook... as Responsible head of the House, I deserved to Served. Dinner served, Day is over Oya  sit, let me feed u (except u a muslim brother,, cos Bacon 🥓 dey inside) . , then u Re-read after to comprehend   (I no get Woman for house again?) Who go dey buy food up n down for here? How much left for Personal emolument in a Month? If u Earn in £, U av PHD in Project Management & Economics Psady:Hmmm fried rice on a Monday evening ! U dey enjoy ooo!! This economy dey fear your corner. I have paid my dues for 2 weeks now, jus having off yesterday n today. Week begins Tomorrow, I deserved it ni",negative
Okay. Great achievement.   Wey the children wey dey do the wedding sef? Abi na political rally?,positive
"Block 1, Enjoyment estate, Plantain queen boulevard.  ibinaboonline:You too dey lie  . But this one na simple breakfast na. Ahnie hobby na to dey whine us naa.",negative
Baba with zero primary votes dey vex......he is complaining now as if he wasn't jostling aggressively to be the VP of Buhari in 2015.....Hypocrites everywhere in the country....he is part of the problem....and always embarrassing the sacred name of the most high with false visions and prophesies....,negative
"coming from someone who's always against Tinubu .   Na only una dey condemn,and na still only una dey advice people to practice the same thing wey una dey condemn....Is God not really wonderful?",positive
"Look at the stupid boy, 💁🏽‍♂️They have many evidences against you and you are still proving mugabe.They will soon strike you the second time.Just dey play oooooBadBradley: follow the law. Evidence or no evidence, no law enforcement can detain any citizen for 120 days without court order. Charge him to court or grant bail. Period.Slow minions like you are the problem of this country.poseidon12:If they have evidence why have they not charged him to Court?Have you asked yourselves if he was cooperating with investigations?Have you asked and evaluated the cabals in his caucus and his loyalists in the same commission who may be hindering/sabotaging investigation?Are you aware there’s is provision that if any entity poses danger to the public or to himself, he should be close arrested?Who ever poses danger to national security is liable to be close arrested.Do you know how much bawa knows?But you are there throwing tantrums feeling like you know the law of the country than even the constitution itself.BadBradley: the tragedy isn't that you're sllow, but 21 other slowtards discovered and liked your ignorance.You're a national tragedy.Not the Police, not the dss can old anyone for 120 days without an order of court. Your ignorant boldness is a genuine cause for worry.You are so pathetic to be defending a criminal, a disaster to a national commission, that you couldn’t think outside the box and get the message.People like you are the ones advocating human right for terrorists.Terrorists, bandits, criminals, hoodlums, hooligans go about committing atrocities and grave offenses that should be frowned at and never cared about human right, but when they are apprehended, you cry foul.Do you know how many national figures calling and begging for his release?Do you know how much was recovered from the thief?Do you know he might not survive court proceedings and might end up in a long term jail?If you don’t know anything about government, don’t have a conversation with me because it shows you are so shallow.Bawa knew his reputation is gone, but was only trying to save face with fighting back in other for him to have at least little dignity.These thieves use the loopholes in the constitution to evade crimes and atrocities they committed.I pity you, continue advocating for criminals at the detriment of national development. Continue advocating for thieves at the expense of national and economic growth.It’s so appalling you only view things from  your own perspective.I have nothing absolutely to discuss with you anymore.Just get of my mention.",negative
Any week that portable didn't trend e go dey like sun no gree comot,neutral
omoh............dis arab people dey plug their own money frm trees?see money wen jst 1 person get,neutral
"Please keep quiet. God wey pack all of us for here knows what he is doing. Don't act like Saint here, only God knows the idiot that cause this one to be yarning dust as if she's holy.You sha wan prove to us that a region no dey collect bribe or you mean all awaiting and pending cases in Nigeria are actually being bribe romance.You are not a Saint either, u understand the message you are sending to obidients...",negative
"Alright. . . . . . . AjeE go soon clear for your eyes, dey play with Wike d Wiked producer. Abeg",negative
"Which Ghana ? You must be joking if you honestly believe that Ghanaian girls stand any chance where those Southy girls dey ! They don't even come any close to those South African babes with their aggressive ""yanch"" ! Even Kenyan girls are more endowed in that ""department"";Ghana no dey,trust me !",negative
"Until you do transfer come broke, na then you go know say dem no dey complicated, na dem be the original complications 😂",negative
"The way some guys carry agbo matter for head en,you go dey think say them dey pay them billions inside.. They are so devoted to it. God forbid bad thing..",negative
igbo Amaka no dey carry last o,negative
E DEY OBVIOUS SEY THE BROKE WEY USYK BROKE JOSHUA HEAD DON AFFECT HIM BRAIN,positive
"Africans in general and Nigerians in particular, una mumu no too much? Una go dey carry una scarce financial resources go do tourism for Middle East in the name of Jesus or Mohammed but una corrupt pass. My people make una begin dey reason small, small.",negative
That kind leg issue wey Honda EOD and below dey get for middle of road,negative
I DEY SURE SEY 9JA GIRLS DON DEY OIL DIA KUKUNASE FOR DIS PHONE,neutral
"Cast me for what?! At my age If I want to date I date if I want to fvck I carry Olosho, and if I want a female friend I have oneNa all this under 30s boys still dey reason all this cast whateverThe lady got molested at some point in her life by a respectable family member and since then she isn't sameThis is someone if you raise your hands she feels you want to slap her.",negative
"Bannies cha........Dem must find one person to shift their blames to.....When she was busy flirting during her early age,she wouldn't have listened if she was warned.....But now,na the innocent spiritual husband she don dey blame",negative
but you guyz said you no dey follow old testament. hypocrisy,negative
Head slammers on killing spree.  Moslem killing moslem..  even dog sef dey chop dogits a crazy world out here mehn,negative
Ayam not seeing well abi eyes dey pain me ni?,negative
"Payment is not the end of procurement process, have they been given lincense or ownership?. Your papa suppose pay me for the education i dey give you today.",negative
"Fear don dey catch some people.Tell your Oga that there is no peace for the Wicked.Yakubu and Tinubu have collectively taken democracy to emergency ward in Nigeria, the judiciary will either kill it permanently or save it",negative
This one thinks UberFacts is owned by Enugu man who was the first person to drive Uber in Nigeria UberFacts that has been in existence before them born you A professional international body is who you’re calling bigotry lies and hate abi you think say na Anambra man get amWho says Tinubu won’t complete his tenure? But I’m happy the whole world has seen Tinubus nyashYou’re here consoling yourself while Tinubu himself dey on panic mode knowing the damage it’s going to do him,negative
"NLC don chicken out as expected...IGP need not stress himself..Tinubu's broadcast don break the rank and file of NLC...the man is called a political guru for a reason..Anyways, with or without NLC, it's important Nigerians start easing from these hardship in the land as soon as possible...if not, dem no go tell anyone before dey hit the street..President Tinubu and his cabinet should roll up their sleeves and gets their hands dirty...Governor's should also wake up...this hardship needs to be alleviated as soon as possible.",negative
Guy you no dey tire to cry?,negative
A Trust fund to be superintended over by untrustworthy individuals.Everybody dey coin their own slogan for their operation loot.Ministry of Inhumanitarian Affairs and Poverty Promotion...,positive
A leader who’s serving the people Is using 300 million naira car in a country where there are millions of poverty and homelessness. The other city boy dey use wristwatch worth millions. No matter how rich I was there are some certain things I will never buy as a rich man I don’t care what people have to say,negative
HehehehehEastern Network News is still on this propaganda?LASG just dey whine the nipples of these people.We need the identities of these people about to be buried.At least their names suppose dey order of service,negative
Chelsea fans should just stay off this thread cos their clueless team no dey anywhere here.... Up Manchester United for life,negative
I see Atletico Madrid  going to the finals Newcastle will reach the round of 16And I see Bayern winning itGroup DBayernArsenalAc millanPSV group BNapoliMan utdShaktar DonetskUnion BerlinJust look at the team in this year champions league easy ride for the big guns  thanks to fifa for changing the format . This year is PSG and Arsenal last chance of winning it anything make them no winner this season make them forget am because the new format na inform of League me n you no say Arsenal go qualified for the round of 16 by finishing bottom 8  hereby facing who finish top at the other Group . My question is will dey give English more slot in the champion league? If true the likes of Anston villa n westham get hope,neutral
Heard 2 people were also crushed in lugbe ....I wonder how these trucks do their road worthiness tests .....Na only private cars road safety and vio like to dey flex muscle on....I dedicate this video to them https://www.youtube.com/watch?v=ex__6LcJr8E,neutral
dey playlife is way more expensive in Ghana than NigeriaTheir government attitude to Nigeria business is terrible to say the least don't you read in the news about the daily harrashment of Nigeria businesses in Ghanathey request for a phantom $1m before you can set up business,negative
"As a field man wey I bi, I dun Waka round some states, d rate of hunger and gnashing of teeth dey alarming.I cum dey wonder say wey d 5k people collected during d election? Shey 5k dun finish, waiting cum dey house again, na hungerThen, I cum dey reason some things again, d whole ting cum be like say na ronu people d ting cum affect pass bcs I never see hausa guy wey dey idle and lazy around dis state, either dem dey sell suya, fruit, yam, potatoes or doing iron condemnAny junction wey u go u go see one useless ronu begging u money or food, Iya dey beg, baba dey beg, Omo dey beg even their daughters dun dey do olosho dis dayRonu una never see anything",negative
cos dey knw illegality cannor do any SHINGBA!,neutral
"Actually the one who is a dingbat, asinine and ignorant will be clear after you read the attached image.Have u ever taken time to go and check if it's only Anambrarians working with Anambra state government? = No I am talking about the latest recruitments and not years past!Bcuz you're all out to hustle for ur 30k God punish you if I no dey earn anything from government!",negative
omoh........nah the father i dey even suspect slf.,positive
"Na summit mascot, entertainer and selfie groupie den dey do for your family abi your portion in life?Ndo,...",neutral
Herdsmen no dey take eye see better farm oThe money wey you go spend on security alone go pass 50% of your entire budget,negative
Y Nigerian songs dey pain me for ear self?,negative
I beg make person help me to ask the stinging Pandora if he has found his phone.Quote me if na your father I dey talk to.,neutral
Nurse wey dey sabi stab person syringe like say the person na teddy bear.,positive
"Noted, but that will not change the fact that... Tinubu is a smart criminal that has so far managed to cover his criminal tracks - drugs money forfeiture, identity theft, fraudulent academic background/genealogy, electoral fraud... Without transparency, trust, honesty and integrity, Ebola can never make a good leader.I dey go my house, come and arrest me...",negative
Wike sha so which party him come dey self,neutral
"The Great Tinubulation has claimed yet again another victim.Baba God, na your hand we dey.",positive
