text,Sentiments
"I purchased these thinking that stevia is usually a safe ingredient for fructose malabsorption, but the gummies also have natural flavors, and these wreck my stomach.  Honestly, getting some Haribo gummy bears, and just having a few, is a better buy in my book.",negative
"The jar is a bit smaller than I thought but using simple math, and understand that the seller has to make a profit it's legit. come sterilized and ready to use.Perfect for a newbie. Definitely would buy again!",positive
"This peppermint is delicious!!! I love the tradition, my mom started it in our family 20 years ago. I would not dream of not getting a peppermint pig. Little kids especially enjoy this",positive
I was missing my chai latte So I was happy when it arrived. The price was a little bit higher than I normally spend on it but I had to pay it in order to get it when I did. It’s an excellent chai latte drink.,positive
Received some jerky that expired in Sept of 2020!,negative
All broken and not returnable. Just wow.,negative
Its too wet and soft (soggy). Im returning this product. Not as what they advertised. It should be dry.. not wet and soft (soggy),negative
The product itself was great and made a wonderful pizza dough. But the expiry date was only a week away from the day I received the flour. I think I should have been delivered a product with more shelf life.,negative
A little more than you would pay  but for the convenience of getting a little birthday surprise it was so worth it !!!!,positive
It arrived with quite visible mold on the strawberries.  Where is quality check??!,negative
"I bought this to make mango icecream. The can is pretty big, so I had left over for 4 or 5 more batches.....very tasty, you can pretty much eat out of can. In sure oyu can use for other stuff like drinks or milkshakes....My icecream came out delicious, specially I cant find fresh mango where I live.",positive
Tasty and so easy to make!  We always have it in our hurricane supplies.  Can serve alone or over rice or noodle/pasta.,positive
"I got hooked on these when I was in England, and they're so hard to find in the US. McVities often imports the plain HobNobs or those with Milk Chocolate, but these dark chocolate beauties are the ones I live for.",positive
"This quinoa turns to mush when cooked. I am a natural foods chef and have been using quinoa for years fir salads, pilaf etc. and this stuff is dirty , needs to be rinsed several times and when cooked at a ratio of 1 to 1 and 1/4 turns to mush, good only for soups, or quinoa pudding( which I made and was delicious ) not good for salads tough an d that is what I love to make with quinoa.",negative
"It does not have a good flavor at all, i probably had 20 different brands of energy drinks this is the worst. Hands down.",negative
I love the flavor and by far the best jerky I ever had. The meat is not tough. Great value for the money…one pack contain a lot of jerky.,positive
"Milk was hard to mix completely, suggest using electric mixer. Other than slight problem, I will be placing another order soon.",positive
I’ve been waiting to receive this tea for quite some time and just when I received it … it’s in poor condition. I don’t even want it anymore.,negative
This salt is excellent sprinkled over cherry/sun gold  tomatoes that have been rolled in just a little virgin olive oil.  I take this to parties and people go absolutely wild over it.  Even healthy for you in addition to taking great.,positive
Excellent Matzos!  Really enjoy these crisp flavorful crackers!!,positive
[[VIDEOID:3e5a424618a9864f107c1a513b8a10f]] Helps the Immune system,positive
I’m using these leaves with marzipan on top of cupcakes,positive
"I thought this would be the alternative to buying the boxes of 3 or 4 a couple of times and then loading up after Easter on the clearance.  My husband knows I have them and there is no way that the box will last even until Easter, let alone after!  I will be buying these again!",positive
These are 100% lentils and taste great! I love having them as a healthier alternative to traditional pasta. Make sure not to over cook - it really only takes 4-6 minutes.,positive
"I absolutely loved this meal, but I also tweaked it to fit my own taste preferences.I don't believe Mint belongs in pasta so out the mint went, and I don't like red pepper so I didn't add it either. Just because the ingredient is provided, doesn't mean you HAVE to use it.Now, otherwise, I thought it was plenty of food. I live alone and definitely have enough for a second night's dinner or a lunch. Really enjoyed the taste. Wish there was a little less packaging, and could have used a little more ricotta, but will DEFINITELY be ordering this again.",positive
Update:  customer service was great reached out to me and sent me a new bag and it is great must have had a bad bag before.  5 stars for coffee and how quick they are to make sure you get quality coffee if something is off.Coffee came smelt good but once brewed it tasted Stale and old.  Grinds were very dry and there is no option for exchange.  I don’t ever do reviews but this coffee is bad and I had high hopes.,positive
"I love how glittery this was. It could stand to be a little thicker paper used, but overall I was very pleased.",positive
The taste and the convenience of it and made a nice centerpiece,positive
Happy Belly strikes again with quality product at reasonable price. Why pay more,positive
"I recently had the pleasure of indulging in Lavazza Super Crema coffee beans, and I must say, the experience was nothing short of extraordinary. As a passionate coffee enthusiast and owner of a super automatic espresso machine, I am always on the lookout for the perfect beans that can deliver a truly exceptional cup of coffee. Lavazza Super Crema surpassed all my expectations and earned its rightful place as my go-to choice.First and foremost, the taste is absolutely delightful. From the very first sip, I was greeted by a harmonious blend of flavors that danced on my palate. The medium roast of the Super Crema beans strikes a perfect balance, providing a smooth and velvety texture while preserving a robust, full-bodied profile. The notes of hazelnut and honey added a delicious complexity that kept me coming back for more.One aspect that truly sets Lavazza Super Crema apart is its impeccable creaminess. The beans produce a luscious and persistent crema that crowns each espresso shot with elegance. It's a visual delight that enhances the overall experience and adds a velvety touch to every sip. Whether you enjoy your coffee as an espresso or in a latte or cappuccino, the Super Crema delivers a luxurious crema that rivals those found in the finest cafés.Furthermore, the consistency and quality of the beans are remarkable. Lavazza, a brand renowned for its expertise in coffee, ensures that the Super Crema beans are carefully selected and expertly blended. The beans' uniformity and optimal grind allow my super automatic espresso machine to extract the flavors flawlessly, resulting in consistently excellent shots of espresso.Lastly, I appreciate the attention to sustainability that Lavazza demonstrates. The company is committed to promoting responsible coffee sourcing and production practices, including supporting local communities and reducing environmental impact. Knowing that I am enjoying an exceptional cup of coffee while supporting ethical and sustainable practices adds an extra layer of satisfaction to my coffee ritual.In conclusion, Lavazza Super Crema has earned my utmost admiration and a well-deserved five-star rating. Its captivating taste, unparalleled creaminess, and commitment to sustainability make it a standout choice for any coffee lover. Treat yourself to the joyous experience of Lavazza Super Crema, and savor the moments of pure coffee bliss it brings to your day.",positive
"For those expecting to really taste the pepper and sea salt, you might want to look a bit further before settling on this bar. While you can taste the salt right away it is quickly overwhelmed by the chocolate. The pepper is sadly indiscernable which may be because the spioes are not mixed into the chocolate but are lightly layered onto the bottom of the bar. Well-crafted overall, but disappointing otherwise.",negative
"This machine has been perfect! I've used it for 2 parties and it has worked perfect! Pops the popcorn perfect, is a good size...not to small and not to big to set up for a party. It's also been easy to keep clean! Would definitely recommend!",positive
Delicious! Sweet as candy! But much healthier! High in Magnesium.,positive
Gravy Master is the best gravy maker on the planet!  Love it!,positive
Good. I got them and they are 1.5in. Not broken up. Whole.,positive
"I bought Brewers Best IPA Hop Rotator Series.The product overall is probably fine and I bought based upon their advertisements and promotion, however, they did not furnish the hops they made such A big deal about.I would appreciate BREWERS BEST to furnish me with the New Zealand Motueka Hops as advertised.CYCLEBERG",negative
"Came quickly, and price was not that bad either.",positive
Damn cap wont come off it just keep spining,negative
"Coffee tastes good and the cups are made well, with plenty of grounds in them.",positive
I am definitely not a mustard person but this is a whole different ballgame best mustard ever!,positive
I opened the package to find a broken jar of honey.,negative
Couldn't wait to get this. I tried it as soon as it came. It is very chocolatey and spreads great.,positive
"Used these as our wedding favors, everybody raved about them!",positive
I've used several brands of coconut oil for a moisturizer. This brand is on par with the others if not a bit smoother. I would buy again.,positive
I love the Propel! Propel doesn't like me. It's sweetened with sucralose. It has a laxative effect on me. If you can tolerate sucralose I 100% recommend. My favorite is the lemon.,positive
Delicious! Be careful though my oven isn’t true to temp and I burned the top a little (my own fault) but still they were delicious! I have bought this one several times and will continue too!,positive
This chocolate is amazing,positive
"I originally wanted this as a recurring item, as I love this tea.However, my first box was a holiday  assortment of teas with one box of  salted caramel.I kept them, as I can use as gifts, but am a afraid to take chance for recurring as I wanted just the salted caramel.",negative
Arrived on time in fresh condition.,positive
"Normally I don't buy spices on line but in this case, I could not find white peppercorns where we live and I likely checked about 10 different stores including Whole Paycheck before breaking down and buying these.  Local stores carried ground peppercorns but not the whole one.  One small shop that carries spices and teas just said they had but the demand was so low it wasn't worth it.The peppercorns arrived very quickly and are great.  Good flavor, nothing questionable with them at all, definitely recommended.  The size of the bag we got will last us a long time before I'm going to have to look for more.",positive
This candy is OLD! It is all hard and the chocolate ones are  cracked and discolored. Seems like it is years old. Do not purchase!,negative
This can size is ideal for a single meal. No leftovers to have to refrigerate. Great value!,positive
"Very thick, not too sweet, stays on the meat/bun. No after taste. Will buy again.",positive
I purchased this as a gift for my mom's birthday. She had never tried it so I asked what she thought. Her answer was oh my it's like two vanilla wafers and a Hershey candy bar in the center lol.,positive
So many eclairs are filled with whipped cream these days and not a true custard. These are awesome,positive
Great candy bar but I think I. Im addicted to them. But if you love candy it is a good bar of candy,positive
"Sent it to my sick relative, she loved it! Not good for hospital people but when she was home it was perfect :)",positive
"These are delicious. I bought a small package at a local store, and liked them so much I bought a box of 12 on Amazon. I got the white cheddar and nacho flavors.  They are similar to a cheeto, but much better. They are more dense, have less dust, have less calories, half the fat, and about 2.5 times the protein. I love them.  If you're going to snack, this is a much better way to go.  Delicious.",positive
"Absolutely disliked the taste, texture & flavor.",negative
My grandchildren really love these gummy candy they taste really good. They always ask for them when they come for a visit 😋,positive
"These pods don’t work in my keurig. I tried 6pods, and none worked. I get the error message “Opps! This pod wasn’t designed for this brewer. Please try one of the hundreds of pods with the Keurig logo.”",negative
Very good bean,positive
"I love this product. The taste is great, it's organic and it's reasonably priced. I usually don't get flavored coffees but this one is truly exceptional.",positive
"Each time I get my bag of coffee, it smells great - potent, rich, flavorful. You know, how coffee should smell. And it keeps for the week before it's gone. Smooth taste, nothing too acidic. Good morning and early afternoon coffee to stay alert.",positive
Not the watermelon that I was hoping for but my husband and kids love it.,negative
for $9 for a bag of chip didn't realize it's only gonna be one bag and it was flat. So it was my kinda my fault for not thinking it would get smashed in the making process. but won't do it again.,negative
"The tuna in these cans was soupy - not a chunk in sight (I bought three of these - all cans the same).  I did contact Chicken of the Sea and they gave me some coupons, a nice letter and apologetic email.  I will buy Chicken of the Sea again, but not the Chunk Light.  I will only use the solid white.",negative
"I love this drink, it gives me energy without a crash afterwards. The flavor is excellent. I have tried many others and they do not even compare to the taste of these.",positive
The popcorn had a gourmet taste and was delicious! I also like the fact that it helped Autistic adults. This is a win win!!,positive
This product is full of gums to thicken the consistency. It feels slimy and tastes wrong. It oozed out of the calzone I put it in. Awful.,negative
"As part of our study of Hawaii at our senior living community, we had these taro chips for snack.  They were fresh and delicious, and added a firsthand experience for the residents.  I was very happy with the quality of this product.",positive
"Best backpacking/camping coffee option. My friends and I are Kuju users for life, keep it up.",positive
I used to have cream in my coffee but I would run out since I couldn’t store enough. Then I found coffee mate and it was equally as rich as the cream was and stored beautifully. I also comes in small packets that I carry in my purse!,positive
My sister in law loved it.,positive
Wow! Is this stuff sweet! This should last me a year. Use sparingly!,positive
great mixture,positive
"I bought in a whim to try Japanese snacks. Some wild things in there. But lots of things, very delicious but no guide as to what’s what abs no English whatsoever.",positive
"School snacks, quick and easy",positive
Did not meet expectations. Unpleasant taste & produced gastrointestinal distress. Cannot use. A loss of $$$. And I had such high hopes. If there were a half star option I would have selected that. M.L. M.,negative
Delicious! Love this brand and this granola !,positive
delish. extra kick for sure.,positive
"This was a birthday gift for my father. The dried fruit was decent; however, the almonds were inedible!The pistachios were extremely stale- overall a huge disappointment. I would not buy this particular item again and would not recommend it to anyone else.",negative
A  great goofy gift for kids and fun to share !,positive
"I usually use a ton of cream in my coffee, but these are so strongly flavored I need only one! They will last me forever.",positive
I absolutely love Jordan’s syrups and have had many of the flavors. They are all 10/10 and ship so quick. I partially love this pumpkin one for the pumpkin latter feeling when mixed in coffee without the price of the coffee places,positive
"I like the sweet & heat, crispy and happy to share this with my colleague in office. Everyone said this taste good and keep coming back for second piece! Love this!",positive
This product is amazing! LOVE the flavor profile! Perfect amount of creaminess and crunch. I either eat by the tablespoon or put on my bananas! Best nut butter I’ve had!,positive
"Amazing coffee beans, you can taste all the subtle flavors. Been a customer for some years now and they have maintained consistency in their product quality.",positive
This is the best Thai Chili sauce - great on everything!,positive
Jolly time yellow pop corn always cooks-up very puffy. I always seek this one out. I hope it never changes quality... Very nice.,positive
So delicious and so easy!,positive
Yum! Better than ANY bottled version ever!,positive
"Will keep experimenting, although satisfied with results last couple weeks. Figured out a good ratio of grains to milk for my use. Results are consistently good.",positive
"Dietary doctors agree, there is no Hump Fat better for you than this brand.Sorry, that was supposed to read, ""NO Hump Fat is better for you than this Hump Fat.""So try NO Hump fat and see!",negative
Excellent flavor and doesn’t taste artificial .,positive
I love these! They sweeten my tea perfectly.,positive
"doesn't taste right, try another brand. also arrived one day late",negative
"They taste really good, and get me past craving for something sweet without consuming sugar!",positive
There are many other choices that are palatable.I tried the banana bread and had only one bite.,negative
I LOVED THESE PICKLES,positive
"These are the worst potstickers I have ever eaten.  I couldn’t even finish them. The dough is super thick and flavorless. Inside, there is such a minimal amount of ingredients that you really don’t taste anything. Flavorless, thick dough, hardly anything inside. Blah! Do not buy these!!",negative
A great rich matcha powder I haven’t used it to bake with just in my morning matcha lattes :) I absolutely love this brand’s affordability and the smooth richness of the tea. Tastes like some expensive brands I’ve tried beforehand. Blends perfectly! I got the latte grade :),positive
"good price, taste was good",positive
"I put it in water and the bag immediately opened, poor quality of bags for  expensive at .50 cents per bag, just to open and dump all your tea out when hot water is added",negative
So cute I got them for my friend that lives HQ and she just loved them!!!! So cute and made very well!!!!,positive
Full of high fructose corn syrup.,negative
seems to have gotten eaten,positive
So many yums! Who doesn't  need these?  They're delicious. 10/10 would reccomend.,positive
I love the thick rich taste more than the others I have tried !,positive
"Excellent, and well worth the money.",positive
The gift basket arrived as promised with no problems.  Everything was fresh and high quality.  This was a great alternative gift to Easter Candy.  I will definitely purchase again.,positive
Delicious and healthy tea!,positive
Definitely some good stuff! I put this on my chicken and marinaded it for a day and it was phenomenal👌🏻,positive
"Love these, they have become some of my go to spices. The pizza is amazing in spaghetti sauce. Garlic lovers is soo good on everything",positive
"Arrived promptly. High quality. Like the size of the individual nuggets. Product is creamy, and  melts easily. Perfect for adding to coffee, for fat bombs, etc.",positive
"So far, out of all the matcha tea i've tried, this is the worst tasting.",negative
Taste like medicine and even worse when milk added. Not very happy with the product. And the box is super small.,negative
"I zip through the usual small jars from my local grocery store, so being able to order this 33.5 oz jar from Amazon was a great find. The package arrived in a couple of days. Very pleased.",positive
Step up your approach game. Always be prepared. Concealed carry. Recommend keeping that thang on you at all times.,positive
I remember eating a fruitcake that my mother always bought for Christmas.  I remembered the it was the best fruitcake that I ate.  Since then I have tried many different cakes but never found the exact tate until I recently found Grandmas's.  Bingo! My search was over.  I will definitely keep ordering only this fruitcake forever!,positive
this is my second time ordering this brand.  I finished the first one and I have to get more of this yummy honey.,positive
"I'm a vegetarian intolerant of (chili) hot taste. This is the ONLY commercially-made soup I've ever found that requires no ""doctoring"" whatsoever! It is delicious.",positive
Perfect. Enough bread to last this household for a week or two. You can't go wrong with 4 grams of carbs a piece.,positive
It’s almost impossible to find black licorice in the stores I used to purchase from. So grateful for your product! I’m unusual in my liking BL probably above any other candy so now I know where to get quality BL. Thank you!,positive
Good experience and flavor to food.,positive
"Hats off to the Brooklyn Beans Variety Pack as well as my favorite the French Roast! I tried the poor tasting Tully's French Roast for the Vue a while back and was worried the Brooklyn Beans Kcup version may be as terrible. Since I really like French Roast coffee that was an issue but I was pleasantly surprised when I found a nicely balanced dark roast that is just the way I like it. I have even given some away to friends and family members just so they can try it themselves.Overall everything in the Variety Pack except the Fuggedaboudit was to my liking and everyone else's. Ironically I cannot say I like the Fuggedaboudit in the least bit, it's too Earthy to the point it reminds me of dirt but the rest I have tried are Very good to Excellent and for a variety pack that is what matters most.To anyone that checks this review out, these guys are definitely worth trying out and I would not be surprised if you become a big fan like I am. And next time I'm in NYC I know where I'll be going to get some fresh coffee! (if they have a storefront)UPDATE 5/10/13: The Fuggedaboudit was fine in the most recent batch I received. After trying a second kcup I figured out that batch in the assortment was either really old when I received it or more likely way over roasted to the point it had a burnt smell as well as had that Earthy dirt flavor. The new ones do not have that and taste fine if you like stronger more bold coffees. I do, so hopefully will not run into a batch like the last ones again.  :)",positive
"Very good product, have too say they tasted much better than i thought they would.",positive
I made Garlic Toast wit this,positive
Fantastic!!! Love them!! Just like the ones I bought in Maui Costco!,positive
"Not too tough to chew,great taste with just enough hot taste as I wanted.",positive
product box was open inside the shipping envelope and individual packets of TRUE LEMON were missing.,negative
"Love Earl Grey. It is so soothing, and tasty.",positive
EXCELLENT ! ! !,positive
Best tea ever. It also made my period painless. I felt so alive after drinking it. I ordered the sampler she I have reorderd 3 more boxes .,positive
Not sure how they did it but this is exactly what a potato tastes like. Science is pretty cool.,positive
"I have read some mixed reviews,  in my experience these nuts are fantastic.  They are fresh and flavorful.  I will definitely be purchasing again, I got the 5 lb bag.",positive
"Fresh, nice.",positive
"I use this mint for ""guests"" that come in my office or we have meetings with a few people - you know - some people need it.  :-)Some people have hesitated to pick it - assuming that it's candy (instead of mint) --- my suggestion is to seal each end of the wrapping, instead of having the twisted ends...it would change the perception.I like the light, but effective mint flavor of this candy --- and it does not have the ""stuck on your tongue"" film after it's gone.I've also used this candy when I feel a bit motion sick while in a plane --- it is soothing.One bag lasts me about 2 months --- stash in my purse and office.  Will definitely order some more.",positive
"MY FIRST TIME BUYING THIS SNACK FRESH, SHOULD HAVE ORDERED 2..",positive
Delicious snack! I love this with yogurt!! So good!,positive
"My husband and I eat a raw nut mix every morning. When he complained about the almonds (from another company), I replaced them with Anna and Sarah almonds because I had liked their brazil nuts. Almonds are great.",positive
I am so disappointed in this collection of fall coffee flavors.  I even set my brew on 8 oz strong and barely could taste coffee. I won’t even give this away I would be too embarrassed!! Nor will I return for it to be sold to someone else.You messed up Victor Alan. Shame on you.,negative
Myself and grandkids,positive
"I have had their Chocolate Brownie flavor, so I was glad they now have additional flavors.  All the flavors are delicious.  They taste like CLIF Bars, but the one difference is that these are Soy-Free.  CLIF bars are not soy free.  They are also filling, so perfect for hikes and after school snacks.  In fact, my husband ate one before going to the gym and stated he felt more energetic during the workout.  Looking at the ingredients list, I see nothing that is artificial.  The sweetener used is organic maple syrup.  There are about 21 grams of carbs in each bar, so not for those looking to cut down carbs.The Best By dates range from June 2023 to December 2023.  All six bars were gobbled up within 3 days.  I had to fish a discarded wrapper in the trash bin, so I could write a review!  If you’re looking for natural ingredients in an energy bar, then these are for you.",positive
Love having pizza crust,positive
came in prime pantry box. none crushed. can't resist an occasional bag of chips. very good too.,positive
"I love this white tea. It's a great taste and helps with digestion, lower blood sugar levels and boosts your immune system.What's not to love??",positive
"I prefer the lyte body armors to the regular! They are perfect for breastfeeding mamas, it helps keep you hydrated which helps with supply!",positive
"I purchased these yesterday for student fund raiser. This was the first and last time for such a purchase. The expiration date is for August 2018. This is March so they should have been good. They were dry and hard. They tasted stale with the first bite. There was no taste of butter or pecans present. If it had been a store purchase, I would have returned the 2 remaining unopened boxes. I then examined the cookies. None had any visible pecan chips or fragments on the surface. I broke open 6 cookies. I found a total of 7 dark fragments that may or may not have been pecans. The fragments were smaller then a nail clipping from a toddler! Breaking open all the cookies would have yielded less then a quarter of one pecan half. There is about 16 cookies in box. I looked at the ingredients. Pecans were listed as last ingredient brfore the less then 2% ingredients. Butter is made from dairy. Non-fat-dried milk is listed as the last ingredient. Cheap discount store animal cookies have better flavor then these.",negative
"I love Red Bull and have bought it from Amazon 20+ times for the value and convenience but I’m going to the store for my next purchase. The last 3 + deliveries have been terrible. Leaking cans, flat drink, less flavor like it was old. Quality is definitely not what it was and I buy cases at a time.",negative
"I love love love this tea.  I have had other dandelion tea in the past that I couldn’t drink even with sugar or honey, but this tea, I can drink straight without any additives.  The draw backs from this product is a tendency for the string to come out of the satchel and for some of the tea to break free and settle at the bottom of the cup leaving me unable to drink until the last drop (only sometimes, not all the time), but these are minor inconveniences for such a delicious tea. I have already finished my single box and ordered the 5 box pack!!",positive
Absolutely delicious. My only complaint is that the packages are pretty small so I go through like 3 of them before I feel like it's enough.:p,positive
"A Dishonor to the Name Suzy Q'sHad an Occasion to purchase two Boxes of the (8) Individually Wrapped Cakes and was really looking forward to trying one as a Dessert after Dinner, and having two of my Grandson’s try for the first time.  What a disappointment.  First if you look at the photo I attached, compare the Suzy Q pictured on the Box and the (3) that I opened.  I should have placed the top-bottom next to each other however I think you can tell which is the other pair.  That is the “Creamy Filling” that you get, it barely even covers ½ the cake and is so thin it cannot even be seen until you pull them apart.  Thought it may have been a fluke however each and every one was like that, one worse than the other.  Tried one anyway and the texture and taste, (if that is what you call it), did not even taste like Chocolate and the cake looks fake.  I remember having them as a kid and the filling would ooze out the other end while eating.  They really missed the Boat on this one, horrible.",negative
My favorite flavor at a reasonable price.,positive
"There might be peanut butter essence in these, but there is nothing even remotely resembling the actual taste of peanut butter.  They're weirdly sticky, and have an off flavor that's not quite rancid, but close.  .The chocolate chip in the original recipe *was* good,  and a blessing to Keto-ers everywhere..but they got greedy and couldn't leave well enough alone, so went messing with the recipe (calling it an improvement - nope they're now just not good), made them smaller, and doubled the price.  The only thing still edible in their entire line are the waffles.  Hopefully they won't mess with those.",negative
"taste good wish I would have seen this stuff before, instead wasting all that money on the small packets of taco mix.will be buying this from now on well worth the money shipped & rec on time. its a big bottle weighs 1.8 pounds that's a lot of taco mix.",positive
This product is a great full bodied coffee that gets you going! My husband and I both like it and drink it.,positive
Great tasting snack when craving and keeping you body fat low. I actually eat this when I'm leaning down below 7% body fat. Highly recommend!,positive
"This is a absolutely great organic whole food sweetener.  I love that it is pure and dates and has NO other ingredients.  As a sweetener, it has decent ""food"" value as opposed to maybe all other forms of sweeteners.  It really helps to love the taste of this product.  It is a great product.",positive
Apparently the contents in the container gone bad. It tastes bitter and lot of cashews look affected by insects.,negative
This was the perfect sugar substitute. I was able to make the best vegan caramel with it!,positive
"Very very good, especially if you like mint tea....and I do!",positive
"These pine nuts are not sweet as they suppose to be, but bitter instead. The ones from Wal-Mart taste a lot better and sweeter! I was trying to save money by buying these..., now I regret a lot.... Will buy expensive ones next time, I guess.",negative
Really nice plant.. Met my expections.. Very happy customer. Will buy again,positive
"There is a lot of crumbs,very disappointed",negative
I love this candy!  It has the best peppermint aroma and the pieces are melt-in-the-mouth soft.  I offer it to guests in my office. It is fat free too.  I ordered two big tubs because it goes fast (mostly because I am always eating it).,positive
"These cashews are fresh, and delicious. The 2 lb. bag is the perfect size for me. I put them in the blender as a thickening agent when I'm pureeing soups.",positive
I can't believe the size and it smells delicious. Best buy I have had for coffee in a long time.  Thanks,positive
"Flavorful, easy to use.  use it on chicken and pork. Works well in airfryer or oven.",positive
dressing was expired when delivered,negative
"Smelled terrible when opened, but after rinsing were fine. Completely flavorless so they can be used in almost any dish. Found out they are better when first cooked on the stove to dry them out a little and then used in your recipe.",positive
I love the dark roast.,positive
"Excellent no-till cover crop, seeds sprouted within 24 hours, fully bloomed Within 48 hours, a little goes a long way, very fast shipping, highly recommended, will definitely be purchasing again...",positive
Love the flavor and have repurchased it and will reorder in the future. Much better flavor than the chocolate.,positive
Tastes very good can't stop eating them will be ordering 😋 more soon,positive
"Yummy!!  All tasted great, the rainbow pack was our fave. Some of them were a bit hard,  not as chewy as others, but still good flavor.",positive
"delicious, not too spicy and very easy to use",positive
Reminds me of my childhood growing up in New Orleans. Love this candy!!,positive
"Not only do these dates taste unbelievably good, but they're organic!!! Two thumbs up!!!",positive
My fault for not reading the comments… on the description it clearly says “keto friendly” DEXTROSE is NOT KET FRIENDLY ! False advertising !!,negative
I have started using this product to replace white sugar in my house. Love it love it love it.,positive
"I rave about how amazing this ghee is to everyone. Other brands do not compare! The smell and texture is nearly flawless. I have converted many family and friends to buying this ghee and using it over other saturated fats. The cost along with prime shipping makes it affordable for anyone to be healthy using this ghee. Many of my family members and even my medical doctors who practice Ayurvedic healing are now recommending and purchasing this themselves. I hope the quality, quantity, and price never changes because this is something I can be very loyal to! The packaging of this product when shipped is beyond phenomenal. It really does seem like it's packed with love. It's in a glass jar which is a huge plus since I don't use plastic anything.I never do reviews but I just needed to express my love for this company, they truly know what they're doing!",positive
Purchase arrived as promptly as indicated. Love this product.,positive
"I kept one set and gave 3 away as Christmas presents.  I thought these were a perfect gift with the nice presentation, simple instructions, and lovely finished terrariums.",positive
"With condensed milk, coconut milk and coconut flakes! Wooow!!!",positive
These were great but unfortunately I have to go easy on the pork.,positive
"What can I say? This stuff is awesome. (I drink too much of it.) I especially like it combined with the Good Earth Sweet & Spicy tea (I steep both in the same large mug). This stuff is great combined with other teas in this way, or just drunk 'straight'.",positive
This was a surprise for my son's KY girlfriend. She was so happy to get it!,positive
These seasonings are amazing! I love everything about the flavor and makes all my food taste great! Will definitely recommend and purchase more in the future.,positive
GREAT Value for the price and Brazil Nuts are Very fresh.,positive
a friend introduced me to this - marvelous product.  she made the BEST stew with it.,positive
"This is one of the most disappointing items I have ever bought on Amazon.  I've tried all 3 flavors, both light and medium roast and they are uniformly awful.  They have no aroma and no taste.  I still have some of my old pods of a different brand, also kona coffee, and they are much, much better.  I bought it because it was Amazon's own brand and I've had good experiences with other items that are Amazon branded, but they really dropped the ball on this one.",negative
Scott still working. Love my Kombucha!,positive
I love this product I make  Cacao drink  every day.,positive
"This is a great shortcut if you don't have the time (or the energy and resources) to make a blond and dark roux from scratch.  If you're the kind of person who does make from scratch, this base gives you the flexibility to add your own personal touch.  I've let this base stand alone and I've added my own mix of spices.  In both scenarios, everyone who ate (even some folks who've frequented New Orleans for cuisine) were honestly pleased.Of course, keep in mind, this is a shortcut.  It won't match up to true blue creole cooking, but for folks like me who live hundreds of miles from Louisiana, this is the next best thing.Amazon priced it well, keep in mind, it's a box of 12 and the expiration date might be within one year of your purchase.  While that would seem like a downside to some, I think etouffee once a month is not enough etouffee at all.",positive
Kal liquid Stevia is the best no sugar at all. Tastes delicious in tea.,positive
Love them sooo good will order again and again,positive
My social circle loves it and has ordered it.,positive
I double the amount of custard powder and sugar because I like a thicker and sweeter custard.  It's great on apple blackberry pie.,positive
Bold strong rich flavor. Just the way I like it!,positive
This is sooooo easy to make and tastes awesome!!,positive
"Strong stuff, go easy on the kidney's eh?",positive
"Recently purchased after tasting in Sante Fe. Very cheap at $14 for 8 oz. Great tea, great flavor no sugar needed. Has a very calming effect.",positive
Not good jerky.  Was hoping it would be better.  Texture and flavor is poor.,negative
Made a frosty....yummy,positive
Tasted terrible and could not eat another bite .,negative
I love to use the Viva labs organic extra virgin coconut oil.It has a pure and fresh aroma.It feels so good on the skin.I highly recommend your name brand to everyone.The product remains freshly scented to completion of the whole container.,positive
"I am diabetic, and stevia and monkfruit are the only drink flavors that don't raise my blood sugar. The stores around here aren't dependable in stocking Sweetleaf water drops and they're my favorite drink flavoring. The vendor I ordered these drops from mailed them the same day--- I almost never have that experience. I will order from this vendor again!",positive
Tastesn great and was quite filling.  And nothing beats the convenience of 1 minute in the microwave.,positive
"So adorable, kids love it",positive
THIS WAS HORRIBLE ABSOULUTLY DISCUSTINGI MADE MY OWN AND IT WAS VERY GOOD WHAT A WASTE OF MONEY,negative
Not enough teriyaki flavor and salty than normal. stale taste,negative
I bought it as a gift for my mother.  She loved it!  Said that it was full of different goodies; it took her several weeks to finish the contents.,positive
This is the best popcorn I found yet The flavor is amazing taste just like movie theater popcorn,positive
"We used these this summer in a concession stand and it saved us a lot of money, but we felt the overall product was better. Everything is premeasured and it saves a ton of room with storage. The final product was an overall success. The popcorn wasn't to salty or greasy. It was perfect bag of popcorn. We will be using this again and I would recommend this product to anyone.",positive
We enjoy adding liquid smoke to some of our cooking.  These do the job.,positive
Arrived broken and no return or replacement offered.  What a waste of money.,negative
Many damaged cans. Messy nuisance!,negative
Only crack black I have used for many years now...it's something to write home about...,positive
"Wanted to stop and try Blue Bottle for years. Finally had time in San Francisco to get a cup. Love it , big bold wonderful taste. Sent for lb. Only disappointment is the 12oz rather than 16oz bag.",positive
Gave these away as a thank you gift recently at a party. Everyone commented on their flavor. Nice value for the money.,positive
Great taste it is not bitter. It is strong and gives me a kick I need in the morning.,positive
Water sugar dry don’t buy!,negative
---but I added my own melted mixture of ghee and butter and salt et voila!,positive
"Meh. Nowhere near as good as the pimento cheese as I’m used to, but that’s what I get for trying out something up north when the southern pimento cheese is where it’s at. No comparison, really.",negative
